,count,mean,std,min,25%,50%,75%,max
FRI_x_NDRE_std,204.0,1.987685720693234,0.8746732227744396,0.25147536270417203,1.373183646027398,1.822143000475013,2.501746124038741,4.89632320745304
FRI_x_NDRE_p25,204.0,-1.7060429548289087,1.091386663005627,-6.7474680790152775,-2.332185284551401,-1.5611901852056103,-1.034959369664887,0.2443092758217083
FRI_x_NDRE_p75,204.0,-0.3856225777655472,0.5228732004954644,-1.867757929417905,-0.7009252039485299,-0.36156856074825394,-0.057550254637885274,0.9338719698931132
logNBI_mean,204.0,0.08016167718305052,0.09270307035372335,0.00018325100443651563,0.008593890940104945,0.050737031311149844,0.12419117581253482,0.5192972815404404
logNBI_std,204.0,0.26487414646568086,0.16110774803764188,0.01364017789504864,0.11697393323430057,0.27857622488066414,0.38009086482004206,0.6565078267745246
logNBI_p25,204.0,0.0022351753452281953,0.02011832965091224,1.000000082690371e-10,1.000000082690371e-10,1.000000082690371e-10,1.000000082690371e-10,0.2682775548980585
logNBI_p75,204.0,0.04581320664957084,0.12075633567399889,1.000000082690371e-10,1.000000082690371e-10,1.000000082690371e-10,1.000000082690371e-10,0.6563485709574883
NDVI_mean,204.0,0.7515505949106208,0.1112151994905016,0.1322375866311191,0.7442818708638325,0.7838467100841755,0.8113285600446534,0.849999575303509
NDVI_std,204.0,0.08691143903827372,0.048955431669855984,0.035209152957765215,0.05508499201293733,0.06756998307529416,0.10337065992068736,0.2956794027006381
NDVI_p25,204.0,0.713127914842113,0.1445891130415046,0.06476094238442096,0.7154098191528617,0.7579709547764371,0.7875121372720381,0.8387541085652447
NDVI_p75,204.0,0.8101676930103392,0.09061161165479019,0.1584645299234148,0.8062055657144465,0.8293205243068884,0.8486611494818789,0.8859972486227473
GNDVI_mean,204.0,0.6042637606567338,0.16402945262127377,0.24283504608834058,0.47077357052204594,0.5970193967267816,0.7770548627737959,0.8749630350102082
GNDVI_std,204.0,0.07676518573085687,0.03366541708245556,0.03258127466543735,0.05228081373058764,0.06859233717881276,0.09067645193909853,0.23082495329199004
GNDVI_p25,204.0,0.5559639681842831,0.17897943171793404,0.16948128465364717,0.4065500021074413,0.5611440770304008,0.7375424684795528,0.860700354351139
GNDVI_p75,204.0,0.6567466165414697,0.1619611136879946,0.27735717198704046,0.5373633750573139,0.634089638108025,0.8228865017565254,0.898429185482068
ARI_mean,204.0,4.704884818230288,6.00816452864231,-0.7759935420656265,0.1869475528521851,0.7651131368609163,9.535922534421777,21.755318686506225
ARI_std,204.0,4.0628953201963665,4.124054062662217,0.2528370942431544,0.7042101397464582,1.4883958585088586,7.518422552648373,14.694589752200399
ARI_p25,204.0,2.3560644994165574,3.600699410547406,-1.1098165490243321,-0.07672126089738962,0.24940884495182924,5.5481233855956775,13.280106991940055
ARI_p75,204.0,5.752301963314526,7.401283222463194,-0.5261758522471469,0.20706465738736524,0.7043328073448945,12.39957342293715,25.782449619166627
RVSI_mean,204.0,-0.04517828415064657,0.015273167476561404,-0.07080182004928304,-0.05787436462623778,-0.0468345140828504,-0.03582493394846346,-0.0015756581490125067
RVSI_std,204.0,0.015411256709087584,0.0037443458117712857,0.003791922370037476,0.013308073390735265,0.015038776596385499,0.01763019618349176,0.027107359565209054
RVSI_p25,204.0,-0.0563395976399382,0.01666927558264528,-0.0808660089969635,-0.06917531508952379,-0.05966823920607567,-0.04606388695538044,-0.003870941698551178
RVSI_p75,204.0,-0.03530250121862171,0.01627945136585242,-0.06428919732570648,-0.049308366142213345,-0.03565281629562378,-0.024467501789331436,0.0010346041526645422
ZTM_mean,204.0,1.76721571544376,0.4098675670255946,1.0802953225771326,1.4624409029373748,1.6785269052488294,1.9966592974492265,2.8704810730897394
ZTM_std,204.0,0.21552207055463288,0.09829541370075649,0.05251947219757934,0.14604752095104548,0.19205398494470893,0.271373996132882,0.5295189542151009
ZTM_p25,204.0,1.61925395876673,0.39002443223087446,1.0442207546219335,1.3371827603918582,1.4992568344030894,1.828666196299228,2.692269390771694
ZTM_p75,204.0,1.9116299081238781,0.45535428667030103,1.1017570179326972,1.569366942097424,1.8312862901117908,2.2179614433696933,3.086870419422945
CRI_mean,204.0,3.4732433769560407,2.5101921132748974,-1.514257137505929,0.9871828363801198,4.017539564609503,5.50447561571541,9.264936439446743
CRI_std,204.0,2.5740953897837255,0.9809130180981495,0.6815946348347378,1.9014202223027106,2.419661516202468,3.0937882832263504,6.1296570362850495
CRI_p25,204.0,1.9488468236442194,1.9817252637879406,-1.869835207856985,-0.1565267623792237,2.520382031312675,3.5758903873729784,5.519890506637068
CRI_p75,204.0,4.409804844620892,2.851589242304105,-0.5145629286835391,1.7035508321551374,4.822094245554673,6.52537877150617,14.411469013542279
PRI_mean,204.0,-0.025373519465862405,0.0317140391796459,-0.11957770009558107,-0.0452129235917046,-0.02280979109930141,0.0008613634817104503,0.025881586052355948
PRI_std,204.0,0.0289629905709089,0.011595216828473925,0.011065713019697464,0.018879742642914577,0.02762876919778888,0.036482668410329204,0.06700802388597928
